Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
289.0,1,West Virginia,,45,48,,Oct 16,,,,,,,,Pulse Opinion Research-1
285.0,1,West Virginia,,46,49,,Oct 12,,,,,,,,Rasmussen-1
284.5,2,West Virginia,,48,38,,Oct 12,,,,,,,,Marshall University-2
283.0,5,West Virginia,,44,44,,Oct 12,,,,,,,,Opinion Research-5
282.5,2,West Virginia,,48,45,,Oct 10,,,,,,,,PPP-2
278.0,1,West Virginia,,44,50,,Oct 05,,,,,,,,Rasmussen-1
277.5,6,West Virginia,,42,39,,Oct 07,,,,,,,,Penn Schoen Berland-6
275.0,1,West Virginia,,43,48,,Oct 02,,,,,,,,Pulse Opinion Research-1
270.0,1,West Virginia,,46,48,,Sep 27,,,,,,,,Rasmussen-1
262.0,1,West Virginia,,50,43,,Sep 19,,,,,,,,Rasmussen-1
261.5,2,West Virginia,,43,46,,Sep 19,,,,,,,,PPP-2
251.0,1,West Virginia,,50,45,,Sep 08,,,,,,,,Rasmussen-1
241.0,1,West Virginia,,48,42,,Aug 29,,,,,,,,Rasmussen-1
210.5,8,West Virginia,,54,32,,Aug 02,,,,,,,,Mindfield-8
203.0,1,West Virginia,,51,35,,Jul 22,,,,,,,,Rasmussen-1
300.0,3,Wisconsin,,44,53,,Oct 28,,,,,,,,PPP-3
300.0,3,Wisconsin,,45,52,,Oct 28,,,,,,,,Marist Coll.-3
298.5,4,Wisconsin,,44,48,,Oct 27,,,,,,,,We the People-4
298.0,1,Wisconsin,,46,53,,Oct 25,,,,,,,,Rasmussen-1
286.5,4,Wisconsin,,47,49,,Oct 15,,,,,,,,St. Norbert Coll.-4
284.0,1,Wisconsin,,45,52,,Oct 11,,,,,,,,Rasmussen-1
283.0,5,Wisconsin,,44,52,,Oct 12,,,,,,,,Opinion Research-5
282.5,4,Wisconsin,,44,51,,Oct 11,,,,,,,,IPSOS-4
282.0,5,Wisconsin,,43,45,,Oct 11,,,,,,,,Fairbank Maslin-5
277.0,1,Wisconsin,,45,52,,Oct 04,,,,,,,,Marist Coll.-1
274.5,6,Wisconsin,,41,49,,Oct 04,,,,,,,,We the People-6
272.0,1,Wisconsin,,42,54,,Sep 29,,,,,,,,Rasmussen-1
270.0,3,Wisconsin,,45,52,,Sep 28,,,,,,,,Marist Coll.-3
268.0,1,Wisconsin,,44,52,,Sep 25,,,,,,,,Pulse Opinion Research-1
262.0,5,Wisconsin,,45,51,,Sep 21,,,,,,,,Opinion Research-5
261.5,2,Wisconsin,,41,52,,Sep 19,,,,,,,,PPP-2
258.0,1,Wisconsin,,44,51,,Sep 15,,,,,,,,Rasmussen-1
236.0,1,Wisconsin,,46,47,,Aug 24,,,,,,,,Rasmussen-1
222.0,1,Wisconsin,,46,47,,Aug 10,,,,,,,,Rasmussen-1
208.0,1,Wisconsin,,46,48,,Jul 27,,,,,,,,Rasmussen-1
194.0,1,Wisconsin,,46,47,,Jul 13,,,,,,,,Rasmussen-1
177.5,2,Wisconsin,,45,43,,Jun 27,,,,,,,,PPP-2
175.5,32,Wisconsin,,33,28,,Jul 10,,,,,,,,U. of Wisconsin-32
172.0,1,Wisconsin,,46,45,,Jun 21,,,,,,,,Rasmussen-1
145.0,1,Wisconsin,,46,44,,May 25,,,,,,,,Rasmussen-1
